"Kulcs","Feladattípus","Fölérendelt","Összefoglalás","Állapot","Hozzárendelt személy","Sprint","Start date","Következtetett kezdő dátum","Határidő","Következtetett határidő","Issue color"
"SCRUM-62","Feladat","SCRUM-23","Registration","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-64","Feladat","SCRUM-23","Registration service","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-66","Feladat","SCRUM-23","Create UserLoginDTO.java","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-67","Feladat","SCRUM-23","User update backend","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-69","Story","SCRUM-23","User Roles & Permissions","Kész","Dániel Murányi","","2024/10/24","","2025/01/03","","purple"
"SCRUM-71","Feladat","SCRUM-23","Add role","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-72","Feladat","SCRUM-23","Add rank","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-73","Feladat","SCRUM-23","Add group","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-75","Feladat","SCRUM-23","Add group procedures","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-77","Feladat","SCRUM-23","Add Groups.java","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-79","Feladat","SCRUM-23","Add get Group","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-84","Story","SCRUM-23","Event Management","Kész","Dániel Murányi","","2024/10/29","","2024/11/28","","purple"
"SCRUM-85","Feladat","SCRUM-23","Update events table","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-86","Feladat","SCRUM-23","Update eventFactory","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-87","Feladat","SCRUM-23","Add eventHandle","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-88","Feladat","SCRUM-23","Add description to event table","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-89","Feladat","SCRUM-23","Correct event junctions","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-92","Story","SCRUM-23","Backend Enhancements & API Setup","Kész","Dániel Murányi","","2024/12/28","","2024/12/29","","purple"
"SCRUM-94","Feladat","SCRUM-23","REST API handle base","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-96","Feladat","SCRUM-23","Update UserController.java","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-98","Feladat","SCRUM-23","Add user models","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-99","Feladat","SCRUM-23","Create UsersData.java","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-100","Feladat","SCRUM-23","CORS configuration","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-101","Feladat","SCRUM-23","Create SecurityConfig.java","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-103","Story","SCRUM-23","Factory & Procedures","Kész","Dániel Murányi","","2024/10/23","","2024/10/29","","purple"
"SCRUM-106","Feladat","SCRUM-23","Add factory","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-118","Feladat","SCRUM-23","Update userFactory.sql","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-119","Feladat","SCRUM-23","Create procedures for user","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-120","Feladat","SCRUM-23","Add userbio procedure","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-121","Feladat","SCRUM-23","Update factorytree","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-122","Feladat","SCRUM-23","Structure factory main","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-123","Feladat","SCRUM-23","Add factory README","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-124","Feladat","SCRUM-23","Update factoryTree","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-125","Story","SCRUM-23","Additional Features & Enhancements","Kész","Dániel Murányi","","2024/10/24","","2024/11/07","","purple"
"SCRUM-126","Feladat","SCRUM-23","Add soft delete to user profile","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-127","Feladat","SCRUM-23"," Handle timestamps","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-128","Feladat","SCRUM-23","Add follow","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-129","Feladat","SCRUM-23","Add contact","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-130","Feladat","SCRUM-23","Add category","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-131","Feladat","SCRUM-23","Add todo","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-132","Story","SCRUM-23","Deployment & Configuration","Kész","Dániel Murányi","","2024/12/31","","2025/01/01","","purple"
"SCRUM-133","Feladat","SCRUM-23","Create Dockerfile","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-134","Feladat","SCRUM-23","Update Dockerfile","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-135","Story","SCRUM-23","Merges & Code Integrations","Kész","Dániel Murányi","","2025/01/29","","2025/01/30","","purple"
"SCRUM-136","Feladat","SCRUM-23"," Merge branch 'Backend_Dani'","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-141","Story","SCRUM-23","Initialize Project and Setup Basic Structure","Kész","Dániel Murányi","","2024/10/21","","2024/12/28","","purple"
"SCRUM-142","Feladat","SCRUM-23","Create DB 1.0","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-143","Feladat","SCRUM-23","Create procedures for users","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-144","Feladat","SCRUM-23","Create .gitignore, .gitattributes, pom.xml","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-145","Feladat","SCRUM-23","Set up Maven","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-146","Story","SCRUM-23","Database and Backend Development","Kész","Dániel Murányi","","2024/10/23","","2024/12/29","","purple"
"SCRUM-147","Feladat","SCRUM-23","Add UNIQUE categories","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-148","Feladat","SCRUM-23","Add user-related procedures","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-149","Feladat","SCRUM-23","Handle timestamps","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-150","Feladat","SCRUM-23","Add soft delete for user profiles","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-151","Feladat","SCRUM-23","Add group procedures","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-152","Feladat","SCRUM-23","Define application properties","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-153","Feladat","SCRUM-23","REST API base setup","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-154","Feladat","SCRUM-23","Create SecurityConfig.java","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-155","Feladat","SCRUM-23","Implement user models","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-234","Bug","SCRUM-23","Infinite follower","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-25","Eposz","","Documentation","Kész","Tamás Temesi","","2025/02/21","2025/02/21","2025/03/30","2025/03/30","purple"
"SCRUM-115","Story","SCRUM-25","Frontend documentation","Kész","Tamás Temesi","","2025/02/21","","2025/03/30","","purple"
"SCRUM-116","Story","SCRUM-25","Backend documentation","Kész","Tamás Temesi","","2025/02/21","","2025/03/30","","purple"
"SCRUM-117","Story","SCRUM-25","Testing documentation","Kész","Tamás Temesi","","2025/02/21","","2025/03/30","","purple"
"SCRUM-137","Feladat","SCRUM-25","Connect subtasks with stories","Kész","Tamás Temesi","","","","","","purple"
"SCRUM-331","Feladat","SCRUM-25","Check for missing summaries","Kész","Tamás Temesi","","2025/03/23","","2025/03/30","","purple"
"SCRUM-332","Feladat","SCRUM-25","Check for missing descriptions","Kész","Tamás Temesi","","2025/03/23","","2025/03/30","","purple"
"SCRUM-333","Feladat","SCRUM-25","Check for missing dates","Kész","Tamás Temesi","","2025/03/23","","2025/03/30","","purple"
"SCRUM-334","Feladat","SCRUM-25","Check for missing connections","Kész","Tamás Temesi","","2025/03/23","","2025/03/30","","purple"
"SCRUM-335","Feladat","SCRUM-25","Check for missing connections at stories","Kész","Tamás Temesi","","2025/03/23","","2025/03/30","","purple"
"SCRUM-138","Eposz","","Testing","Kész","","","","","","","dark_orange"
"SCRUM-139","Story","SCRUM-138","Testing frontend site","Kész","Tamás Temesi","","","","","","purple"
"SCRUM-140","Story","SCRUM-138","Testing backend site","Kész","","","","","","","purple"
"SCRUM-304","Eposz","","User Authentication & Authorization","Kész","Patrik Kőszegi","","2024/10/04","2024/10/04","2025/03/20","2025/03/20","green"
"SCRUM-102","Story","SCRUM-304","Implement User Authentication System","Kész","Patrik Kőszegi","","2024/10/04","","2024/10/09","","purple"
"SCRUM-104","Feladat","SCRUM-304","Create basic login structure","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-105","Feladat","SCRUM-304","Implement login with UNIcard demo","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-107","Feladat","SCRUM-304","Implement email verification logic","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-108","Feladat","SCRUM-304","Improve error handling in login.php","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-109","Feladat","SCRUM-304","Implement password security enhancements","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-165","Story","SCRUM-304","User Authentication and Authorization","Kész","Patrik Kőszegi","","2025/01/01","","2025/01/23","","purple"
"SCRUM-166","Feladat","SCRUM-304","Implement registration and login","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-167","Feladat","SCRUM-304","Improve password validation rules","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-168","Feladat","SCRUM-304","Adjust frontend input validations","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-169","Feladat","SCRUM-304","Implement automatic login using localStorage","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-170","Feladat","SCRUM-304","Add CORS support","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-177","Story","SCRUM-304"," Enhance Security and Performance","Kész","Patrik Kőszegi","","2024/10/02","","2024/10/16","","purple"
"SCRUM-178","Feladat","SCRUM-304","Store database credentials in a Config.php file","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-179","Feladat","SCRUM-304","Implement secure hashing for passwords ","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-180","Feladat","SCRUM-304","Implement secure hashing for passwords ","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-181","Feladat","SCRUM-304","Use a single PHP file for email and username existence checks","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-182","Feladat","SCRUM-304"," Optimize JavaScript functions for efficiency","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-271","Story","SCRUM-304","Real name at registration","Kész","Patrik Kőszegi","","2025/02/28","","2025/02/28","","purple"
"SCRUM-272","Feladat","SCRUM-304","Real name input field","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-273","Feladat","SCRUM-304","Registration service with real name","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-274","Feladat","SCRUM-304","New UI due to new input field","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-294","Story","SCRUM-304","Enable/disable logic for buttons","Kész","Patrik Kőszegi","","2025/02/27","","2025/02/27","","purple"
"SCRUM-295","Feladat","SCRUM-304","Implement button enable/disable logic","Kész","Patrik Kőszegi","","2025/02/27","","2025/02/27","","purple"
"SCRUM-296","Feladat","SCRUM-304","Create new styles for disabled buttons","Kész","Patrik Kőszegi","","2025/02/27","","2025/02/27","","purple"
"SCRUM-297","Feladat","SCRUM-304","Update UI components","Kész","Patrik Kőszegi","","2025/02/27","","2025/02/27","","purple"
"SCRUM-387","Story","SCRUM-304","Ensure Login Service Runs on Page Load for Authentication","Kész","Patrik Kőszegi","","2025/03/03","","2025/03/04","","purple"
"SCRUM-388","Feladat","SCRUM-304","Trigger Login Service on Page Load","Kész","Patrik Kőszegi","","2025/03/03","","2025/03/04","","purple"
"SCRUM-389","Feladat","SCRUM-304","Implement Proper Authentication Validation","Kész","Patrik Kőszegi","","2025/03/03","","2025/03/04","","purple"
"SCRUM-390","Feladat","SCRUM-304","Handle Invalid Authentication Scenarios","Kész","Patrik Kőszegi","","2025/03/03","","2025/03/04","","purple"
"SCRUM-391","Feladat","SCRUM-304","Ensure Seamless User Experience","Kész","Patrik Kőszegi","","2025/03/03","","2025/03/04","","purple"
"SCRUM-392","Story","SCRUM-304","Enable Auto-login on Page Reload or URL Change","Kész","Patrik Kőszegi","","2025/03/03","","2025/03/08","","purple"
"SCRUM-393","Feladat","SCRUM-304"," Detect Page Reload & URL Change","Kész","Patrik Kőszegi","","2025/03/03","","2025/03/08","","purple"
"SCRUM-394","Feladat","SCRUM-304","Trigger Auto-login on Page Load","Kész","Patrik Kőszegi","","2025/03/03","","2025/03/08","","purple"
"SCRUM-431","Story","SCRUM-304","Clear Specific LocalStorage Variables on Logout","Kész","Patrik Kőszegi","","2025/03/13","","2025/03/14","","purple"
"SCRUM-432","Feladat","SCRUM-304","Locate logout","Kész","Patrik Kőszegi","","2025/03/13","","2025/03/14","","purple"
"SCRUM-433","Feladat","SCRUM-304","Modify logout function","Kész","Patrik Kőszegi","","2025/03/13","","2025/03/14","","purple"
"SCRUM-434","Feladat","SCRUM-304","Check localstorage data","Kész","Patrik Kőszegi","","2025/03/13","","2025/03/14","","purple"
"SCRUM-435","Story","SCRUM-304","Load Saved LocalStorage Colors on Login or Use Default","Kész","Patrik Kőszegi","","2025/03/14","","2025/03/15","","purple"
"SCRUM-436","Feladat","SCRUM-304","Locate login","Kész","Patrik Kőszegi","","2025/03/14","","2025/03/15","","purple"
"SCRUM-437","Feladat","SCRUM-304","Modify login service","Kész","Patrik Kőszegi","","2025/03/14","","2025/03/15","","purple"
"SCRUM-438","Feladat","SCRUM-304","Default color handling","Kész","Patrik Kőszegi","","2025/03/14","","2025/03/15","","purple"
"SCRUM-442","Story","SCRUM-304","Improve Authentication Handling on Page Load","Kész","Patrik Kőszegi","","2025/03/13","","2025/03/15","","purple"
"SCRUM-443","Feladat","SCRUM-304","Modify Authentication Logic","Kész","Patrik Kőszegi","","2025/03/13","","2025/03/15","","purple"
"SCRUM-444","Feladat","SCRUM-304","Implement Auto-login on Page Load","Kész","Patrik Kőszegi","","2025/03/13","","2025/03/15","","purple"
"SCRUM-445","Feladat","SCRUM-304","Handle Server Unavailability Gracefully","Kész","Patrik Kőszegi","","2025/03/13","","2025/03/15","","purple"
"SCRUM-446","Feladat","SCRUM-304","Update Local Storage Handling","Kész","Patrik Kőszegi","","2025/03/13","","2025/03/15","","purple"
"SCRUM-561","Story","SCRUM-304","Allow users to inspect and download their UniCard from Quick Links","Kész","Patrik Kőszegi","","2025/03/13","","2025/03/14","","purple"
"SCRUM-562","Feladat","SCRUM-304","UI Implementation","Kész","Patrik Kőszegi","","2025/03/13","","2025/03/14","","purple"
"SCRUM-563","Feladat","SCRUM-304","Create Modal/Page","Kész","Patrik Kőszegi","","2025/03/13","","2025/03/14","","purple"
"SCRUM-564","Feladat","SCRUM-304","Fetch User Data","Kész","Patrik Kőszegi","","2025/03/13","","2025/03/14","","purple"
"SCRUM-565","Feladat","SCRUM-304","Reuse","Kész","Patrik Kőszegi","","2025/03/13","","2025/03/14","","purple"
"SCRUM-305","Eposz","","UNIverse Card & Profile Management","Kész","Patrik Kőszegi","","2024/09/29","2024/09/29","2025/03/04","2025/03/04","green"
"SCRUM-70","Story","SCRUM-305","Develop UNIverse Card Feature","Kész","Patrik Kőszegi","","2024/09/29","","2024/09/30","","purple"
"SCRUM-74","Feladat","SCRUM-305","Add floating animation to info cards","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-76","Feladat","SCRUM-305","Create UNIverse Card login demo","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-78","Feladat","SCRUM-305"," Ensure correct data fetching in createProfile.php","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-80","Feladat","SCRUM-305","Implement basic logic for UNIcard","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-81","Feladat","SCRUM-305","Finalize UNIcard creation with correct JSON response","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-83","Feladat","SCRUM-305","Disable continue button until the user saves the UNIcard","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-90","Story","SCRUM-305","Implement Signature Feature for UNIcard","Kész","Patrik Kőszegi","","2024/09/30","","2024/10/01","","purple"
"SCRUM-91","Feladat","SCRUM-305","Develop basic structure for signature drawing","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-93","Feladat","SCRUM-305","Hash signature data into hex format","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-95","Feladat","SCRUM-305","Implement final signature logic","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-97","Feladat","SCRUM-305","Prevent proceeding without a signature","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-275","Story","SCRUM-305","University and faculty display","Kész","Patrik Kőszegi","","2025/02/28","","2025/03/01","","purple"
"SCRUM-276","Feladat","SCRUM-305","Incorrect faculty name","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-277","Feladat","SCRUM-305","Faculty name display","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-351","Story","SCRUM-305"," Improve Contact Addition & Profile Picture Display","Kész","Patrik Kőszegi","","2025/03/05","","2025/03/07","","purple"
"SCRUM-352","Feladat","SCRUM-305","Selection options for contacts","Kész","Patrik Kőszegi","","2025/03/05","","2025/03/07","","purple"
"SCRUM-353","Feladat","SCRUM-305","Placeholder for input fields","Kész","Patrik Kőszegi","","2025/03/05","","2025/03/07","","purple"
"SCRUM-354","Feladat","SCRUM-305","Email validation","Kész","Patrik Kőszegi","","2025/03/05","","2025/03/07","","purple"
"SCRUM-355","Feladat","SCRUM-305","Website validation","Kész","Patrik Kőszegi","","2025/03/05","","2025/03/07","","purple"
"SCRUM-356","Feladat","SCRUM-305","Phone number validation","Kész","Patrik Kőszegi","","2025/03/05","","2025/03/07","","purple"
"SCRUM-357","Feladat","SCRUM-305","Error handling","Kész","Patrik Kőszegi","","2025/03/05","","2025/03/07","","purple"
"SCRUM-358","Feladat","SCRUM-305","Profile picture display","Kész","Patrik Kőszegi","","2025/03/05","","2025/03/07","","purple"
"SCRUM-306","Eposz","","Frontend Development & UI/UX Improvements","Kész","Patrik Kőszegi","","2024/11/29","2024/11/29","2025/03/21","2025/03/21","green"
"SCRUM-44","Story","SCRUM-306","Create a Demo Website","Kész","Patrik Kőszegi","","2024/09/27","","2024/09/27","","purple"
"SCRUM-45","Feladat","SCRUM-306","Create samples for the demo website","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-46","Feladat","SCRUM-306","Develop a DEMO version of the current page","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-48","Feladat","SCRUM-306","Add :root colors for theming","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-51","Story","SCRUM-306","Implement Registration Form with Validations","Kész","Patrik Kőszegi","","2024/09/27","","2024/10/02","","purple"
"SCRUM-52","Feladat","SCRUM-306","Add customized input fields to the registration","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-53","Feladat","SCRUM-306","Create a validation reference file","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-54","Feladat","SCRUM-306","Add validation ideas for the form","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-56","Feladat","SCRUM-306","Separate CSS files for better organization","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-57","Feladat","SCRUM-306","Implement animations for form responses","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-59","Feladat","SCRUM-306","Center email input field","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-63","Feladat","SCRUM-306","Prepare inputs for PHP actions","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-65","Feladat","SCRUM-306","Implement home button for navigation","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-68","Feladat","SCRUM-306","Implement real-time validation for username and email","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-156","Story","SCRUM-306","Frontend Development (Angular)","Kész","Patrik Kőszegi","","2024/11/29","","2025/01/23","","purple"
"SCRUM-157","Feladat","SCRUM-306","Created Angular version of project","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-158","Feladat","SCRUM-306","Add assets, styles, and PHP folders","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-159","Feladat","SCRUM-306","Create basic components","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-160","Feladat","SCRUM-306","Add user registration service","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-161","Feladat","SCRUM-306","Implement username-password login","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-162","Feladat","SCRUM-306","Implement responsive design","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-163","Feladat","SCRUM-306","Integrate services","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-164","Feladat","SCRUM-306","Add new pop-up component for messages","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-171","Story","SCRUM-306","UI/UX Improvements and Bug Fixes","Kész","Patrik Kőszegi","","2025/01/07","","2025/01/23","","purple"
"SCRUM-172","Feladat","SCRUM-306","Improve styling for registration and login","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-173","Feladat","SCRUM-306","Fix form cancel warnings","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-174","Feladat","SCRUM-306","Add animations and responsiveness","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-175","Feladat","SCRUM-306","Fix errors and remove unnecessary functions","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-194","Story","SCRUM-306","UI Components and Styling Enhancement","Kész","Patrik Kőszegi","","2025/02/12","","2025/02/13","","purple"
"SCRUM-195","Feladat","SCRUM-306","Implement basic UI for group, calendar, event, and profile components","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-196","Feladat","SCRUM-306","Fix header styling and positioning","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-197","Feladat","SCRUM-306","Optimize mobile device layout","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-198","Feladat","SCRUM-306","Add custom scrollbar","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-199","Feladat","SCRUM-306","Implement hamburger menu for mobile resolution","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-200","Feladat","SCRUM-306","Modify searchbar styling","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-201","Feladat","SCRUM-306","Rearrange files into descriptive folders","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-202","Feladat","SCRUM-306","Transform search bar into standalone component","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-211","Story","SCRUM-306","Animation and Visual Feedback","Kész","Patrik Kőszegi","","2025/02/17","","2025/02/20","","purple"
"SCRUM-212","Feladat","SCRUM-306","Implement welcome page animation","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-213","Feladat","SCRUM-306","Add SVG animations for registration and login","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-214","Feladat","SCRUM-306","Create animation for page not found component","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-215","Feladat","SCRUM-306","Implement loading animation","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-216","Feladat","SCRUM-306","Add breathing linear gradient animation to profile header","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-217","Feladat","SCRUM-306","Implement lazy loading for main-site animations","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-218","Story","SCRUM-306","Profile Management Features","Kész","Patrik Kőszegi","","2025/02/19","","2025/02/21","","purple"
"SCRUM-219","Feladat","SCRUM-306"," Create self-profile component","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-220","Feladat","SCRUM-306","Implement profile screenshot feature with animation","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-221","Feladat","SCRUM-306","Add follow/unfollow functionality","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-222","Feladat","SCRUM-306","Implement profile picture interactions","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-223","Feladat","SCRUM-306","Set up profile data fetching and display","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-224","Feladat","SCRUM-306"," Add visual feedback for fetched profile data","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-225","Feladat","SCRUM-306","Implement proper routing for profile views","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-241","Story","SCRUM-306","Layout and UI redesign for some components","Kész","Patrik Kőszegi","","2025/02/26","","2025/02/27","","purple"
"SCRUM-242","Bug","SCRUM-306","Infocard components misalignment","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-243","Bug","SCRUM-306","Hover issue on password input field","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-244","Bug","SCRUM-306","Registration form scrolling issue","Kész","Patrik Kőszegi","","","","","","purple"
